Nome do Assistente que processou,CNPJ UFV,USINA/FILIAL,CLUSTER,PC,Nº DA NF ,FORNECEDOR,CNPJ - FORNECEDOR,TIPO  DE SERVIÇO PRESTADO,DATA DE EMISSAO - NF ,VALOR DA NF,DT DE INSERÇÃO DO PC,VENCIMENTO,DATA ENVIO AO FISCAL,DATA DE ESCRITURAÇÃO DO FISCAL,DATA QUE A NF FOI PAGA,STATUS DO LANÇAMENTO
ANDREY,41.775.887/0003-39,UFV MORI PERNAMBUCO 1 ENERGIA SOLAR,PERNEMBUCO,225,9195,VALESAFE,36.881.722/0001-40,EPI's,01/07/2025,3754.69,08/07/2025,25/07/2025,08/07/2025,,,FINANCEIRO
NAUANY,34.181.977/0002-55,PIRAPORA 1,CENTRO,001580,44434,COMERCIAL ELETRICA HM ,65.234.486/0001-78,DISJUNTOR E FONTE DE ALIMENTAÇÃO,01/07/2025,858.54,04/07/2025,25/07/2025,08/07/2025,17/07/2025,,FINANCEIRO
NAUANY,34.181.977/0006-89,BOCAIUVA 1,CENTRO,001581,10031,ANTONIO GOMES DOS SANTOS ,03.334.779/0001-70,COMPRA: REFLETOR,01/07/2025,407.7,04/07/2025,25/07/2025,08/07/2025,17/07/2025,,FINANCEIRO
JULIANA ,42.385.610/0007-96,VARJAO DE MINAS ,TRIANGULO,4561,1382,ATI AUTOMAÇÃO,22.311.229/0001-80,SUPORTE TECNICO,01/07/2025,230,22/08/2025,15/09/2025,05/09/2025,,,FINANCEIRO
JULIANA ,41.738.810/0002-08,GUARDA MOR ,TRIANGULO,5721,1360,ATI AUTOMAÇÃO,22.311.229/0001-80,SUPORTE TECNICO,01/07/2025,230,23/08/2025,15/09/2025,05/09/205,,,FINANCEIRO
JULIANA ,42.385.610/0009-58,NOVA PONTE,TRIANGULO,4564,1384,ATI AUTOMAÇÃO,22.311.229/0001-80,SUPORTE TECNICO,01/07/2025,230,23/08/2025,15/09/2025,05/09/205,,,FINANCEIRO
JULIANA ,41.738.810/0022-51,PARACATU,TRIANGULO,5720,1364,ATI AUTOMAÇÃO,22.311.229/0001-80,SUPORTE TECNICO,01/07/2025,230,23/08/2025,15/09/2025,05/09/205,,,FINANCEIRO
JULIANA ,42.385.610/0004-43,LAGOA FORMOSA,TRIANGULO,4563,1373,ATI AUTOMAÇÃO,22.311.229/0001-80,SUPORTE TECNICO,01/07/2025,230,23/08/2025,15/09/2025,05/09/205,,,FINANCEIRO
JULIANA ,42.385.610/0011-72,PATOS DE MINAS ,TRIANGULO,4562,1374,ATI AUTOMAÇÃO,22.311.229/0001-80,SUPORTE TECNICO,01/07/2025,230,23/08/2025,15/09/2025,05/09/205,,,FINANCEIRO
THAUANY,42385610000281,FREI INACENCIO ,NORTE,3614,2348,GUARDIAM SEGURANÇA ,49923768000126,SERVIÇO DE VIGILANCIA ,01/07/2025,3523.08,07/07/2025,25/07/2025,07/07/2025,,,PAGO 
THAUANY,35700257000130,NANUQUE ,NORTE,330,2349,GUARDIAM SEGURANÇA ,49923768000126,SERVIÇO DE VIGILANCIA ,01/07/2025,3523.08,07/07/2025,25/07/2025,07/07/2025,,,PAGO 
THAUANY,20589037000104,FCR VII USINA DE ENERGIA ,NORTE,233,599,ALTEK TELECOMUNICAÇÕES ,13591814000190,SERVIÇO DE TELECOMUNICAÇÃO ,01/07/2025,498,04/07/2025,25/07/2025,07/07/2025,,,PAGO 
NAUANY,41.738.810/0006-32,BURITIZEIRO ,CENTRO,005615,69,ENOCH ALVES GOMES,159.630.206-20,ABASTECIMENTO CAIXA DÁGUA,03/07/2025,1500,15/07/2025,05/08/2025,21/07/2025,15/07/2025,,FINANCEIRO
NAUANY,34.183.614/0002-59,PIRAPORA,CENTRO,001612,68,ENOCH ALVES GOMES,159.630.206-20,ABASTECIMENTO CAIXA DÁGUA,03/07/2025,360,15/07/2025,05/08/2025,21/07/2025,24/07/2025,,FINANCEIRO
THAUANY,34182074000450,UFV JANAÚBA 1 ,NORTE,1446,5450,CENTER LUZ LTDA ,27661197000166,COMPRA DE FERRAMENTAS,03/07/2025,1834,31/07/2025,15/08/2025,01/08/2025,,,PAGO 
NAUANY,34.182.074/0003-70,BOCAIUVA 3,CENTRO,001415,104,YA CONFECÇÕES ,56.307.355/0001-82,CONFECÇÃO DE UNIFORMES,04/07/2025,580,07/07/2025,25/07/2025,08/07/2025,18/07/2025,,FINANCEIRO
SABRINA,42910475000670,MORI MINAS NEWCO IV ENERGIA SOLAR S.A.,SUL ,005182,931682,BRS SUPRIMENTOS CORPORATIVOS S/A,3746938001549,COMPRA SUPERMERCADO,04/07/2025,1878.9,08/07/2025,25/07/2025,09/07/2025,,,FINANCEIRO
NAUANY,34.182.074/0005-31 ,PIRAPORA 3,CENTRO,001428,111,MONICA APARECIDA SIQUEIRA ,43.118.394/0001-90,SERVICO DE LAVA JATO,04/07/2025,675,09/07/2025,25/07/2025,09/07/2025,15/07/2025,,FINANCEIRO
ANDREY,41.775.887/0002-58,UFV MORI PERNAMBUCO 1 ENERGIA SOLAR,PERNEMBUCO,226,9196,VALESAFE,36.881.722/0001-40,EPI's,04/07/2025,3754.69,08/07/2025,25/07/2025,08/07/2025,,,FINANCEIRO
ANDREY,53.599.051/0003-00,UFV COMERC PERNAMBUCO 3,PERNEMBUCO,217,9194,VALESAFE,36.881.722/0001-40,EPI's,04/07/2025,3754.69,08/07/2025,25/07/2025,08/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0012-06,UFV JOAO DOURADO,BAHIA,882,1678169,BUNZL,43.854.777/0001-26,EPI's,04/07/2025,1718.28,09/07/2025,05/08/2025,08/07/2025,,,FINANCEIRO
ANDREY,41.718.786/0003-26,UFV MORI BAHIA 1 ENERGIA SOLAR,BAHIA,265,1678168,BUNZL,43.854.777/0001-26,EPI's,04/07/2025,1718.28,09/07/2025,05/08/2025,08/07/2025,,,FINANCEIRO
ANDREY,53.599.051/0003-00,UFV COMERC PERNAMBUCO 3,PERNEMBUCO,227,1678632,BUNZL,43.854.777/0001-26,EPI's,04/07/2025,713.41,09/07/2025,05/08/2025,08/07/2025,,,FINANCEIRO
ANDREY,41.775.887/0003-39,UFV MORI PERNAMBUCO 1 ENERGIA SOLAR,PERNEMBUCO,230,1678188,BUNZL,43.854.777/0001-26,EPI's,04/07/2025,12003.16,09/07/2025,05/08/2025,08/07/2025,,,FINANCEIRO
ANDREY,53.599.051/0004-90,UFV COMERC PERNAMBUCO 3 (CUPIRA),PERNEMBUCO,231,1678189,BUNZL,43.854.777/0001-26,EPI's,04/07/2025,12003.16,09/07/2025,05/08/2025,09/07/2025,,,FINANCEIRO
ANDREY,41.775.887/0002-58,UFV MORI PERNAMBUCO 1 ENERGIA SOLAR,PERNEMBUCO,234,1678187,BUNZL,43.854.777/0001-26,EPI's,04/07/2025,12003.16,09/07/2025,05/08/2025,09/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0014-60,UFV COMERC BAHIA 3 LTDA,BAHIA,886,1678171,BUNZL,43.854.777/0001-26,EPI's,04/07/2025,1718.28,09/07/2025,05/08/2025,09/07/2025,,,FINANCEIRO
ANDREY,34.115.737/0002-52,RAJADA ,PERNEMBUCO,180,675,LATWAN CONECTIVIDADE,44.570.201/0001-08,INTERNET,04/07/2025,1530,09/07/2025,25/07/2025,09/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0013-89,UFV COMERC BAHIA 3 LTDA,BAHIA,899,1678170,BUNZL,43.854.777/0001-26,EPI's,04/07/2025,1718.28,10/07/2025,05/08/2025,09/07/2025,,,FINANCEIRO
ANDREY,33.877.251/0001-08,UFV DIVINOPILIS 03,SUL,5841,8,JOÃO HENRRIQUE SILVA,57.407.708/0001-89,FORNECIMENTO DE AGUA MINERAL,06/07/2025,660,03/10/2025,2025-10-25 00:00:00,09/10/2025,,,FISCAL
NAUANY,41.738.810/0007-12,JABOTICATUBAS,CENTRO,005572,1762,BRENFER E-COMMERCE,48.319.359/0001-52,COMPRA DE MOTOR ELÉTRICO,07/07/2025,1861.88,02/07/2025,05/09/2025,09/07/2025,,,FINANCEIRO
NAUANY,41.738.810/0006-31,BURITIZEIRO ,CENTRO,005571,1763,BRENFER E-COMMERCE,48.319.359/0001-52,COMPRA DE MOTOR ELÉTRICO,07/07/2025,1861.88,02/07/2025,05/09/2025,09/07/2025,,,FINANCEIRO
SABRINA,42910475001218,MORI MINAS NEWCO IV ENERGIA SOLAR S.A.,SUL ,005188,934536,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,07/07/2025,1878.9,09/07/2025,15/09/2025,09/07/2025,,,FINANCEIRO
SABRINA,42910475001307,MORI MINAS NEWCO IV ENERGIA SOLAR S.A.,SUL ,005190,934530,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,07/07/2025,1878.9,09/07/2025,15/09/2025,09/07/2025,,,FINANCEIRO
SABRINA,42911546000900,MORI MINAS NEWCO V ENERGIA SOLAR S.A.,SUL ,003190,1828,RC ELETRONICA,4428500000180,COMPRA MATERIAIS CFTV ,08/07/2025,8373.69,08/07/2025,25/07/2025,09/07/2025,,,FINANCEIRO
SABRINA,42911546000659,MORI MINAS NEWCO V ENERGIA SOLAR S.A.,SUL ,003197,95,YA CONFECÇÕES ,56.307.355/0001-82,CONFECÇÃO DE UNIFORMES,09/07/2025,6400,08/07/2025,25/07/2025,09/07/2025,,,FINANCEIRO
THAUANY,34458863000129,UFV JANUÁRIA 1 ,NORTE,302106,190,THIAGO ARISTOTELES ,21251066000120,TRANSPORTE COLETIVO,11/07/2025,13350,14/07/2025,05/08/2025,18/07/2025,,,PAGO 
THAUANY,34181977000174,UFV MORI MINAS ,NORTE,1536,54103,HOLD TRANSPORTE ,24052966000130,TRANSPORTE COLETIVO,14/07/2025,38996.13,17/07/2025,15/08/2025,17/07/2025,,,PAGO 
NAUANY,34.181.977/0002-55,PIRAPORA 1,CENTRO,001607,44535,COMERCIAL ELETRICA HM ,65.234.486/0001-78,CONECTOR P/ EMENDA,14/07/2025,418.5,18/072025,05/08/2025,21/07/2025,25/07/2025,,FINANCEIRO
NAUANY,31.549.352/0001-24 ,CORINTO ,CENTRO,000407,125476774359,COPASA,17.281.106/0001-03 ,ABASTECIMENTO DE ÁGUA,14/07/2025,69.55,22/07/2025,05/08/2025,24/07/2025,29/07/2025,,FINANCEIRO
NAUANY,42.385.610/0005-24,DIAMANTINA 1,CENTRO,004500,945690,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,16/07/2025,1284.95,21/07/2025,15/08/2025,28/07/2025,27/08/2025,,FINANCEIRO
NAUANY,34.181.977/0007-60,CORINTO ,CENTRO,001610,945746,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,16/07/2025,1012.02,21/07/2025,15/08/2025,28/07/2025,30/07/2025,,FINANCEIRO
NAUANY,41.738.810/0006-31,BURITIZEIRO SPE,CENTRO,005633,7659,PONTO ELETRÔNICO DAS BATERIAS,09.656.546/0001-70,COMPRA DE BATERIA ,16/07/2025,1658.8,22/07/2025,15/08/2025,28/07/2025,29/07/2025,,FINANCEIRO
SABRINA,41738810001875,ESTRELA DO NORTE GERACAO DE ENERGIA SPE S.A.,SUL ,005617,945675,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,16/07/2025,1238.82,17/07/2025,15/08/2025,28/07/2025,,,FINANCEIRO
SABRINA,42911546000900,MORI MINAS NEWCO V ENERGIA SOLAR S.A.,SUL ,003212,945739,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,16/07/2025,1238.82,17/07/2025,15/08/2025,28/07/2025,,,FINANCEIRO
SABRINA,41738810000470,ESTRELA DO NORTE PEDRA DO INDAIA,SUL ,005618,945707,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,16/07/2025,1238.82,17/07/2025,15/08/2025,28/07/2025,,,FINANCEIRO
SABRINA,41738810001280,ESTRELA DO NORTE GERACAO DE ENERGIA SPE S.A.,SUL ,005694,945702,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,16/07/2025,1238.82,12/08/2025,05/09/2025,19/08/2025,,,FINANCEIRO
SABRINA,41738810001522,ESTRELA DO NORTE GERACAO DE ENERGIA SPE S.A.,SUL ,005631,945693,BRS SUPRIMENTOS CORPORATIVOS,03.746.938/0015-49,COMPRA SUPERMERCADO,16/07/2025,1238.82,21/07/2025,15/08/2025,28/07/2025,,,FINANCEIRO
THAUANY,31.549.360/0001-70,UFV MANGA ,NORTE,406,159829267,COPASA ,17.281.106/0001-03 ,ABASTECIMENTO DE AGUA ,16/07/2025,36.7,17/07/2025,25/07/2025,21/07/2025,,,PAGO 
NAUANY,34.181.977/0002-55,PIRAPORA  ,CENTRO,001517,2027,KARLO BRUCE REZENDE ,04.471.118/0001-59,ABASTECIMENTO ÁGUA POTÁVEL ,17/07/2025,10,18/07/2025,15/08/2025,18/07/2025,,,FINANCEIRO
NAUANY,34.183.614/0002-59,PIRAPORA 2,CENTRO,001520,2028,KARLO BRUCE REZENDE ,04.471.118/0001-59,ABASTECIMENTO ÁGUA POTÁVEL ,17/07/2025,10,18/07/2025,15/08/2025,18/07/2025,,,FINANCEIRO
NAUANY,41.738.810/0006-31,BURITIZEIRO 1,CENTRO,005432,2029,KARLO BRUCE REZENDE ,04.471.118/0001-59,ABASTECIMENTO ÁGUA POTÁVEL ,17/07/2025,10,18/07/2025,15/08/2025,18/07/2025,,,FINANCEIRO
NAUANY,41.738.810/0017-94 ,BURITIZEIRO 2,CENTRO,005433,2030,KARLO BRUCE REZENDE ,04.471.118/0001-59,ABASTECIMENTO ÁGUA POTÁVEL ,17/07/2025,10,18/07/2025,15/08/2025,18/07/2025,,,FINANCEIRO
NAUANY,34.181.977/0006-89,BOCAIUVA,CENTRO,001608,10189,ANTONIO GOMES DOS SANTOS ,03.334.779/0001-70,COMPRA: REFLETOR / RELE / TERMINAL,17/07/2025,1241,18/07/2025,15/08/2025,28/07/2025,29/07/2025,,FINANCEIRO
ANDREY,41.718.786/0002-45,UFV MORI BAHIA 1 ENERGIA SOLAR S/A,BAHIA,286,107,YA CONFECCOES LTDA,56.307.355/0001-82,EPI's,17/07/2025,4396,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0007-30,UFV COMERC BAHIA 3 LTDA,BAHIA,285,109,YA CONFECCOES LTDA,56.307.355/0001-82,EPI's,17/07/2025,3202,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0002-26,UFV COMERC BAHIA 3 LTDA,BAHIA,957,112,YA CONFECCOES LTDA,56.307.355/0001-82,EPI's,17/07/2025,6004,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0014-60,UFV COMERC BAHIA 3 LTDA,BAHIA,943,113,YA CONFECCOES LTDA,56.307.355/0001-82,EPI's,17/07/2025,3202,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0013-89,UFV COMERC BAHIA 3 LTDA,BAHIA,940,111,YA CONFECCOES LTDA,56.307.355/0001-82,EPI's,17/07/2025,6004,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0012-06,UFV COMERC BAHIA 3 LTDA,BAHIA,938,110,YA CONFECCOES LTDA,56.307.355/0001-82,EPI's,17/07/2025,3202,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
THAUANY,31549360000170,UFV MANGA ,CENTRO,380,11952,TRANSCONSULT TRANSPORTES,6900988000121,TRANSPORTE COLETIVO,18/07/2025,23150,22/07/2025,25/08/2025,23/07/2025,,,PAGO 
ANDREY,41.718.786/0002-45,UFV MORI BAHIA 1 -JEQUIE,BAHIA,937,108,YA CONFECCOES LTDA,56.307.355/0001-82,EPI's,18/07/2025,3202,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,41.718.786/0003-26,UFV MORI BAHIA 1 -RIBEIRA DO POMBAL,BAHIA,287,949487,BRS SUPRIMENTOS ,03.746.938/0015-49,COMPRAS DE MERCADO ,18/07/2025,1632,23/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0002-26,UFV COMERC BAHIA 3 -BRUMADO,BAHIA,288,949478,BRS SUPRIMENTOS ,03.746.938/0015-49,COMPRAS DE MERCADO ,18/07/2025,1632,23/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0014-60,UFV COMERC BAHIA 3 LTDA-POSTO DA MATA,BAHIA,962,949108,BRS SUPRIMENTOS ,03.746.938/0015-49,COMPRAS DE MERCADO ,18/07/2025,1632,23/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0017-02,UFV COMERC BAHIA 3 LTDA- BARRA DO CHOCA,BAHIA,963,949294,BRS SUPRIMENTOS ,03.746.938/0015-49,COMPRAS DE MERCADO ,18/07/2025,1632,23/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0012-06,UFV COMERC BAHIA 3 LTDA  - JOAO DOURADO,BAHIA,964,949427,BRS SUPRIMENTOS ,03.746.938/0015-49,COMPRAS DE MERCADO ,18/07/2025,1632,23/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,41.718.786/0003-26,UFV MORI BAHIA 1 ENERGIA SOLAR SA,BAHIA,965,949287,BRS SUPRIMENTOS ,03.746.938/0015-49,COMPRAS DE MERCADO ,18/07/2025,1632,23/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,41.718.786/0002-45,UFV MORI BAHIA 1 ENERGIA SOLAR SA,BAHIA,264,1807893,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,23/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,41.718.786/0004-07,UFV MORI BAHIA 1 ENERGIA SOLAR SA,BAHIA,262,1807887,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0005-79,UFV COMERC BAHIA 3 LTDA,BAHIA,263,1807888,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0006-50,UFV COMERC BAHIA 3 LTDA,BAHIA,871,1807894,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0002-26,UFV COMERC BAHIA 3 LTDA,BAHIA,872,1807905,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0007-30,UFV COMERC BAHIA 3 LTDA,BAHIA,874,1807896,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0003-07,UFV COMERC BAHIA 3 LTDA,BAHIA,875,1807895,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0011-17,UFV COMERC BAHIA 3 LTDA,BAHIA,876,1807897,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0012-06,UFV COMERC BAHIA 3 LTDA,BAHIA,881,1807898,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0014-60,UFV COMERC BAHIA 3 LTDA,BAHIA,879,1807900,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0014-60,UFV COMERC BAHIA 3 LTDA,BAHIA,880,1807901,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0013-89,UFV COMERC BAHIA 3 LTDA,BAHIA,880,1807902,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
ANDREY,54.294.711/0015-40,UFV COMERC BAHIA 3 LTDA,BAHIA,878,1807890,ESMALTEC SA,02.948.030/0002-30,COMPRA DE BEBEDOURO,18/07/2025,688.99,22/07/2025,15/08/2025,22/07/2025,,,FINANCEIRO
SABRINA,42910475000750,MORI MINAS NEWCO IV ENERGIA SOLAR S.A.,SUL ,005212,616,RONDAS PORTEIROS LTDA,42044355000122,?,25/07/2025,4974.26,29/07/2025,15/08/2025,31/07/2025,,,FINANCEIRO
NAUANY,34.183.614/0007-63,PARACATU 3,TRIANGULO,001630,263,A&A TELECOM LTDA,43.979.923/0001-40,ASSITENCIA TÉCNICA FIBRA OPTICA,01/08/2025,490,04/08/2025,25/08/2025,07/08/2025,20/08/2025,,FINANCEIRO
THAUANY,54.294.711/0005-79,UFV COMERC BAHIA 3 LTDA - ALCOBAÇA ,NORDESTE,730,1375067,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,54.294.711/0015-40,UFV COMERC BAHIA 3 LTDA - IRAQUARA ,NORDESTE,736,1375089,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,54.294.711/0007-30,UFV COMERC BAHIA 3 LTDA - GUANAMBI,NORDESTE,734,1375281,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,53.048.055/0006-42,UFV COMERC MINAS GERAIS 3 LTDA - PATOS DE MINAS ,TRIANGULO,377,1375134,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,54.294.711/0006-50,UFV COMERC BAHIA 3 LTDA - BARRA DA ESTIVA ,NORDESTE,732,1375103,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
